ID,A.plus.pre.BB,A.minus.pre.BB,B.plus.pre.BB,B.minus.pre.BB,A.plus.mid.BB,A.minus.mid.BB,B.plus.mid.BB,B.minus.mid.BB,A.plus.mid.BB,A.minus.mid.BB,B.plus.mid.BB,B.minus.mid.BB,A.plus.pre.IS,A.minus.pre.IS,B.plus.pre.IS,B.minus.pre.IS,A.plus.mid.IS,A.minus.mid.IS,B.plus.mid.IS,B.minus.mid.IS,A.plus.mid.IS,A.minus.mid.IS,B.plus.mid.IS,B.minus.mid.IS,A.plus.pre.OC,A.minus.pre.OC,B.plus.pre.OC,B.minus.pre.OC,A.plus.mid.OC,A.minus.mid.OC,B.plus.mid.OC,B.minus.mid.OC,A.plus.mid.OC,A.minus.mid.OC,B.plus.mid.OC,B.minus.mid.OC,A.plus.pre.TC,A.minus.pre.TC,B.plus.pre.TC,B.minus.pre.TC,A.plus.mid.TC,A.minus.mid.TC,B.plus.mid.TC,B.minus.mid.TC,A.plus.mid.TC,A.minus.mid.TC,B.plus.mid.TC,B.minus.mid.TC
24,50,50,50,50,40,10,40,10,100,0,50,0,50,50,50,50,70,10,70,10,0,100,80,10,50,50,50,50,100,0,0,100,100,10,10,100,50,50,50,50,100,0,50,50,100,0,70,30
25,25,25,25,25,50,50,50,50,100,0,50,100,50,50,50,50,100,50,100,50,0,100,100,0,50,50,50,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,50,50,100,0,66,33
26,100,50,100,50,66,33,66,33,100,0,50,50,500,100,50,100,33,33,66,66,0,100,100,0,100,50,100,50,100,0,0,100,100,0,0,100,50,100,50,100,100,0,50,50,100,0,66,33
27,100,50,100,50,100,0,100,0,100,33,100,0,50,0,50,0,0,0,100,100,66,33,100,0,100,80,100,50,100,0,0,100,100,0,25,33,50,0,50,0,100,0,0,0,100,0,66,33
28,50,50,50,50,50,50,50,50,75,25,25,75,50,50,50,50,50,50,50,50,75,25,100,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,25,50,50,100,0,77,33
29,75,50,75,50,75,25,75,25,100,0,50,50,75,75,50,50,33,33,67,67,0,100,100,0,75,50,75,50,100,0,0,100,100,0,0,100,50,75,50,75,100,0,50,75,100,0,67,33
30,50,50,50,50,50,50,50,50,75,25,50,50,50,50,50,50,50,50,50,50,33,66,75,25,50,50,50,50,0,100,100,0,75,25,25,75,50,50,50,50,100,0,50,50,100,0,66,33
31,100,50,100,50,70,90,50,100,100,0,50,80,50,50,50,50,50,100,50,100,30,100,40,100,100,50,100,50,100,0,0,100,100,0,0,100,50,50,50,50,100,0,0,0,100,0,67,33
32,50,50,50,50,50,50,50,50,75,25,50,50,50,50,50,50,50,50,50,50,30,75,80,30,50,50,50,50,75,75,50,30,80,20,50,45,50,50,50,50,80,75,50,50,80,75,60,50
33,50,50,50,50,55,45,55,45,60,40,50,55,50,50,50,50,55,45,55,45,40,60,55,50,50,50,50,50,65,40,30,60,75,30,40,65,60,50,40,50,70,40,40,65,75,40,66,33
