ID,Age,Major,College,Year,Type of High school,85-211,36-309,21-111,21-112,21-120,21-122,21-256,36-201,15-110,85-426,15-122,15-210,15-251,88-120,15-213,15-150,15-112,85-221,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-,A+,A-,B+,B-
30,0,biology,mcs,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,90,50,50,50,50,0,50,0,100,0,50,50,50,50,50,50,100,0,100,0,50,100,50,50,50,50,50,50,100,0,0,100,100,0,25,75,50,50,50,50,100,0,50,50,90,10,75,25
31,0,business,Tepper,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,100,0,50,50,50,50,50,50,50,50,50,50,100,0,0,100,50,50,50,50,0,100,100,0,0,100,100,0,50,50,50,50,50,50,0,100,10,75,25,100
32,1,ECE,CIT,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,50,50,50,50,50,50,50,50,100,100,100,100,50,50,50,50,50,50,50,50,66,66,66,66,50,50,50,50,50,50,50,50,0,100,100,0,50,50,50,50,50,50,0,100,66,33,0,100
33,0,ECE,CIT,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,50,50,50,50,50,50,50,50,50,50,100,0,50,50,50,50,0,0,100,100,50,0,50,100,50,50,50,50,0,50,100,50,0,50,100,0,50,50,50,50,50,50,0,100,33,67,0,100
34,1,mechE,CIT,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,50,50,50,50,50,50,50,75,25,50,50,50,50,50,50,50,50,50,50,75,25,25,75,50,50,50,50,0,100,100,0,0,100,100,0,50,50,50,50,50,50,0,100,33,66,0,100
35,1,architecture,CFA,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,25,25,25,20,20,20,20,20,20,20,20,50,50,50,50,50,50,50,50,33,0,0,0,25,25,25,25,25,25,25,25,20,20,20,20,25,25,25,25,25,25,25,25,25,25,25,25
36,0,math,MCS,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,50,50,50,50,25,25,25,25,100,0,50,50,50,100,0,50,50,0,50,50,0,50,100,50,50,50,50,50,0,100,100,0,0,100,100,0,50,50,25,25,50,50,0,100,0,100,0,100
37,0,business,Tepper,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,50,25,50,25,100,0,67,33,20,50,100,100,50,50,100,100,50,50,50,70,50,50,50,50,20,60,60,20,100,100,100,0,50,50,50,50,5,5,10,80,15,30,0,55
38,0,ECE,CIT,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,50,50,50,50,50,50,50,50,66,33,50,50,50,50,50,50,50,50,50,50,66,33,33,66,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,100,33,66,0,100
39,0,math,MCS,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,50,50,100,0,50,50,50,50,100,100,50,50,50,50,0,50,50,100,50,50,50,50,0,100,100,0,0,100,100,0,50,100,50,100,0,50,0,100,33,60,0,100
